Index,위도값,경도값,RSE_ID,ExitingCount,EnteringCount,Address,Date
95,,,462015611,341,410,,2024-04-15
60,35.829574,129.119259,362003007,30852,30814,대한민국 경상북도 경주시 건천읍 모량리 382-1,2024-04-04
30,36.04974,128.40865,262003880,68228,68858,대한민국 경상북도 칠곡군 석적읍 포남리 597-8,2024-04-11
94,36.65787,127.36991,162005342,3831,3845,대한민국 충청북도 청주시 흥덕구 옥산면 경부고속도로 309,2024-04-21
5,36.88167,127.18917,162005723,133442,133157,대한민국 충청남도 천안시 서북구 성거읍 정촌리 232-38,2024-04-15
40,36.61108,127.40018,162005284,55880,53700,대한민국 충청북도 청주시 흥덕구 신전동 157-3,2024-04-18
34,36.39055,127.42292,162005018,64384,66538,대한민국 대전광역시 대덕구 연축동 278,2024-04-02
50,35.3725,129.05333,262002432,42574,41393,대한민국 경상남도 양산시 산막동 354,2024-04-04
56,35.32861,129.05694,262002365,36604,36575,대한민국 경상남도 양산시 동면 내송리 산76-1,2024-04-11
36,36.68178,127.36983,162005373,67294,67175,대한민국 충청북도 청주시 흥덕구 옥산면 국사리 203,2024-04-15
28,36.72039,127.33097,162005435,66995,66604,대한민국 충청북도 청주시 흥덕구 옥산면 사정리 산22-1,2024-04-22
16,37.12663,127.09778,162006045,89852,86283,대한민국 경기도 평택시 진위면 동천리 596-3,2024-04-04
67,35.576942,129.133043,362002668,33303,32718,대한민국 울산광역시 울주군 언양읍 직동리 945-20,2024-04-01
46,35.27917,129.11472,262002290,54441,51266,대한민국 부산광역시 금정구 선동 560,2024-04-08
52,37.405833,127.094167,162006338,41014,47621,대한민국 경기도 성남시 분당구 삼평동 418-1,2024-04-19
72,36.27247,127.73767,262004680,21714,21682,대한민국 충청북도 영동군 용산면 부상리 408-1,2024-04-05
49,35.43944,129.07833,262002510,36363,36944,대한민국 경상남도 양산시 하북면 용연리 산83-4,2024-04-05
34,36.64024,127.37826,162005324,65767,65633,대한민국 충청북도 청주시 흥덕구 강내면 학천리 511-4,2024-04-06
95,36.71603,127.34914,162005422,437,436,대한민국 충청북도 청주시 흥덕구 옥산면 장남리 287,2024-04-21
67,36.15672,128.19537,262004150,34365,34612,대한민국 경상북도 김천시 아포읍 대신리 885-45,2024-04-07
35,36.39055,127.42292,162005018,51468,52067,대한민국 대전광역시 대덕구 연축동 278,2024-04-12
60,35.829574,129.119259,362003007,26132,26051,대한민국 경상북도 경주시 건천읍 모량리 382-1,2024-04-05
14,37.12663,127.09778,162006045,104198,100464,대한민국 경기도 평택시 진위면 동천리 596-3,2024-04-08
58,36.48658,127.42949,162005134,38402,38396,대한민국 충청북도 청주시 서원구 현도면 선동리 284-13,2024-04-21
63,35.613003,129.145706,362002711,34951,34925,대한민국 울산광역시 울주군 두서면 구량리 282-1,2024-04-21
79,36.13882,128.06343,262004287,21051,21061,대한민국 경상북도 김천시 봉산면 신리 325-4,2024-04-10
72,35.793205,129.193445,362002920,29628,29944,대한민국 경상북도 경주시 내남면 망성리 15-10,2024-04-14
38,36.64024,127.37826,162005324,55119,55443,대한민국 충청북도 청주시 흥덕구 강내면 학천리 511-4,2024-04-05
93,36.65787,127.36991,162005342,3151,3163,대한민국 충청북도 청주시 흥덕구 옥산면 경부고속도로 309,2024-04-06
47,35.3725,129.05333,262002432,42361,41139,대한민국 경상남도 양산시 산막동 354,2024-04-16
12,36.942,127.1897,162005789,107023,106975,대한민국 충청남도 천안시 서북구 입장면 가산리 362-15,2024-04-17
66,36.15672,128.19537,262004150,25763,26167,대한민국 경상북도 김천시 아포읍 대신리 885-45,2024-04-17
30,36.74568,127.22726,162005536,68327,68582,대한민국 충청남도 천안시 동남구 성남면 신사리 산88-15,2024-04-09
52,36.33218,127.53434,162004882,39618,37866,대한민국 충청북도 옥천군 군북면 이백리 산15-2,2024-04-03
43,35.27917,129.11472,262002290,47434,45361,대한민국 부산광역시 금정구 선동 560,2024-04-03
83,36.94295,127.19273,162005791,13142,13206,대한민국 충청남도 천안시 서북구 입장면 연곡길 407,2024-04-10
4,36.91226,127.18921,162005757,133812,134124,대한민국 충청남도 천안시 서북구 입장면 용정리 51-8,2024-04-15
15,36.80417,127.165,162005633,90726,88943,대한민국 충청남도 천안시 동남구 원성동 81-2,2024-04-04
14,37.12663,127.09778,162006045,95146,92299,대한민국 경기도 평택시 진위면 동천리 596-3,2024-04-16
69,36.29508,127.6018,262004808,26041,25958,대한민국 충청북도 옥천군 옥천읍 구일리 817-11,2024-04-20
13,37.37306,127.10556,462006299,102270,102936,대한민국 경기도 성남시 분당구 성남대로407번길 26,2024-04-16
26,35.90452,128.56087,262003614,70430,66061,대한민국 대구광역시 북구 노곡로3길 23-3,2024-04-17
29,36.72039,127.33097,162005435,71617,71179,대한민국 충청북도 청주시 흥덕구 옥산면 사정리 산22-1,2024-04-01
3,37.12583,127.09694,162006016,133296,132926,대한민국 경기도 평택시 진위면 동천리 602-2,2024-04-19
80,36.22234,127.90606,262004479,23211,23357,대한민국 충청북도 영동군 황간면 마산리 269-2,2024-04-11
70,35.724461,129.194676,362002843,25591,25662,대한민국 경상북도 경주시 내남면 월산리 1097-3,2024-04-06
59,36.48658,127.42949,162005134,31606,31599,대한민국 충청북도 청주시 서원구 현도면 선동리 284-13,2024-04-03
89,37.33278,127.10361,462006250,8416,8326,대한민국 경기도 용인시 수지구 죽전동 866-14,2024-04-14
82,36.13882,128.06343,262004287,16643,16463,대한민국 경상북도 김천시 봉산면 신리 325-4,2024-04-12
53,37.23222,127.10694,162006144,38531,40065,대한민국 경기도 용인시 기흥구 공세동 656-16,2024-04-22
79,36.27095,127.831,262004582,21452,21468,대한민국 충청북도 영동군 용산면 구촌리 13-1,2024-04-17
26,35.97664,128.43275,262003788,72073,71088,대한민국 경상북도 칠곡군 왜관읍 삼청리 21-29번지,2024-04-02
0,37.16678,127.09193,162006064,195730,197594,대한민국 경기도 화성시 송동 425-9,2024-04-14
64,36.15981,128.22747,262004121,28326,28802,대한민국 경상북도 김천시 아포읍 봉산리 1229-11,2024-04-20
86,37.07361,127.13444,162005949,11228,11192,대한민국 경기도 안성시 원곡면 산하리 319-1,2024-04-05
34,36.73389,127.28353,162005480,65208,65037,대한민국 충청남도 천안시 동남구 수신면 속창리 143-11,2024-04-11
49,36.33218,127.53434,162004882,44860,42677,대한민국 충청북도 옥천군 군북면 이백리 산15-2,2024-04-15
53,36.33218,127.53434,162004882,39756,38028,대한민국 충청북도 옥천군 군북면 이백리 산15-2,2024-04-19
